Date,Stock,Price
2020-01-02,AAPL,72.4005126953125
2020-01-03,AAPL,71.6966552734375
2020-01-06,AAPL,72.26793670654297
2020-01-07,AAPL,71.92804718017578
2020-01-08,AAPL,73.08512115478516
2020-01-09,AAPL,74.63748931884766
2020-01-10,AAPL,74.80622863769531
2020-01-13,AAPL,76.4044189453125
2020-01-14,AAPL,75.37271881103516
2020-01-15,AAPL,75.04969787597656
2020-01-16,AAPL,75.98983001708984
2020-01-17,AAPL,76.83108520507812
2020-01-21,AAPL,76.31041717529297
2020-01-22,AAPL,76.58280181884766
2020-01-23,AAPL,76.95159149169922
2020-01-24,AAPL,76.72982788085938
2020-01-27,AAPL,74.47357940673828
2020-01-28,AAPL,76.58036804199219
2020-01-29,AAPL,78.18341064453125
2020-01-30,AAPL,78.07009887695312
2020-01-31,AAPL,74.60856628417969
2020-02-03,AAPL,74.4036636352539
2020-02-04,AAPL,76.8600082397461
2020-02-05,AAPL,77.48674774169922
2020-02-06,AAPL,78.39311218261719
2020-02-07,AAPL,77.32755279541016
2020-02-10,AAPL,77.6948013305664
2020-02-11,AAPL,77.22604370117188
2020-02-12,AAPL,79.06001281738281
2020-02-13,AAPL,78.49699401855469
2020-02-14,AAPL,78.5163345336914
2020-02-18,AAPL,77.07867431640625
2020-02-19,AAPL,78.19495391845703
2020-02-20,AAPL,77.39276123046875
2020-02-21,AAPL,75.64100646972656
2020-02-24,AAPL,72.04801177978516
2020-02-25,AAPL,69.60758972167969
2020-02-26,AAPL,70.7118148803711
2020-02-27,AAPL,66.08950805664062
2020-02-28,AAPL,66.05085754394531
2020-03-02,AAPL,72.20026397705078
2020-03-03,AAPL,69.90721130371094
2020-03-04,AAPL,73.14981842041016
2020-03-05,AAPL,70.77705383300781
2020-03-06,AAPL,69.83714294433594
2020-03-09,AAPL,64.31356811523438
2020-03-10,AAPL,68.94554138183594
2020-03-11,AAPL,66.551025390625
2020-03-12,AAPL,59.97880554199219
2020-03-13,AAPL,67.16474914550781
2020-03-16,AAPL,58.52421188354492
2020-03-17,AAPL,61.0975341796875
2020-03-18,AAPL,59.60186004638672
2020-03-19,AAPL,59.14519119262695
2020-03-20,AAPL,55.39033126831055
2020-03-23,AAPL,54.21360778808594
2020-03-24,AAPL,59.65259552001953
2020-03-25,AAPL,59.32400131225586
2020-03-26,AAPL,62.44580841064453
2020-03-27,AAPL,59.86040496826172
2020-03-30,AAPL,61.56869888305664
2020-03-31,AAPL,61.443058013916016
2020-04-01,AAPL,58.21010208129883
2020-04-02,AAPL,59.18143844604492
2020-04-03,AAPL,58.33090591430664
2020-04-06,AAPL,63.419559478759766
2020-04-07,AAPL,62.68501281738281
2020-04-08,AAPL,64.28941345214844
2020-04-09,AAPL,64.75331115722656
2020-04-13,AAPL,66.02428436279297
2020-04-14,AAPL,69.35870361328125
2020-04-15,AAPL,68.72565460205078
2020-04-16,AAPL,69.271728515625
2020-04-17,AAPL,68.33180236816406
2020-04-20,AAPL,66.9134750366211
2020-04-21,AAPL,64.84513854980469
2020-04-22,AAPL,66.71292114257812
2020-04-23,AAPL,66.4543685913086
2020-04-24,AAPL,68.37288665771484
2020-04-27,AAPL,68.42120361328125
2020-04-28,AAPL,67.31214141845703
2020-04-29,AAPL,69.52301025390625
2020-04-30,AAPL,70.98968505859375
2020-05-01,AAPL,69.84680938720703
2020-05-04,AAPL,70.8350601196289
2020-05-05,AAPL,71.8982162475586
2020-05-06,AAPL,72.6399917602539
2020-05-07,AAPL,73.39144897460938
2020-05-08,AAPL,75.1383056640625
2020-05-11,AAPL,76.32061767578125
2020-05-12,AAPL,75.44839477539062
2020-05-13,AAPL,74.53744506835938
2020-05-14,AAPL,74.99535369873047
2020-05-15,AAPL,74.5519790649414
2020-05-18,AAPL,76.30850219726562
2020-05-19,AAPL,75.86756896972656
2020-05-20,AAPL,77.34304809570312
2020-05-21,AAPL,76.76642608642578
2020-05-22,AAPL,77.26066589355469
2020-05-26,AAPL,76.73734283447266
2020-05-27,AAPL,77.07168579101562
2020-05-28,AAPL,77.10560607910156
2020-05-29,AAPL,77.03050231933594
2020-06-01,AAPL,77.97779846191406
2020-06-02,AAPL,78.33879852294922
2020-06-03,AAPL,78.77005004882812
2020-06-04,AAPL,78.09169006347656
2020-06-05,AAPL,80.31581115722656
2020-06-08,AAPL,80.79067993164062
2020-06-09,AAPL,83.34188842773438
2020-06-10,AAPL,85.48609161376953
2020-06-11,AAPL,81.38185119628906
2020-06-12,AAPL,82.08445739746094
2020-06-15,AAPL,83.09961700439453
2020-06-16,AAPL,85.30193328857422
2020-06-17,AAPL,85.18323516845703
2020-06-18,AAPL,85.21715545654297
2020-06-19,AAPL,84.73016357421875
2020-06-22,AAPL,86.94701385498047
2020-06-23,AAPL,88.80288696289062
2020-06-24,AAPL,87.23533630371094
2020-06-25,AAPL,88.3934326171875
2020-06-26,AAPL,85.67747497558594
2020-06-29,AAPL,87.65204620361328
2020-06-30,AAPL,88.38375854492188
2020-07-01,AAPL,88.21654510498047
2020-07-02,AAPL,88.21654510498047
2020-07-06,AAPL,90.57637023925781
2020-07-07,AAPL,90.29533386230469
2020-07-08,AAPL,92.3983154296875
2020-07-09,AAPL,92.795654296875
2020-07-10,AAPL,92.9579849243164
2020-07-13,AAPL,92.52914428710938
2020-07-14,AAPL,94.06035614013672
2020-07-15,AAPL,94.70726013183594
2020-07-16,AAPL,93.5418701171875
2020-07-17,AAPL,93.3529052734375
2020-07-20,AAPL,95.3202133178711
2020-07-21,AAPL,94.00463104248047
2020-07-22,AAPL,94.26873016357422
2020-07-23,AAPL,89.9779281616211
2020-07-24,AAPL,89.75504302978516
2020-07-27,AAPL,91.88226318359375
2020-07-28,AAPL,90.37287139892578
2020-07-29,AAPL,92.10517120361328
2020-07-30,AAPL,93.21965789794922
2020-07-31,AAPL,102.97868347167969
2020-08-03,AAPL,105.57350158691406
2020-08-04,AAPL,106.27852630615234
2020-08-05,AAPL,106.66378021240234
2020-08-06,AAPL,110.38516998291016
2020-08-07,AAPL,107.87550354003906
2020-08-10,AAPL,109.44342803955078
2020-08-11,AAPL,106.18860626220703
2020-08-12,AAPL,109.71772766113281
2020-08-13,AAPL,111.6594467163086
2020-08-14,AAPL,111.55994415283203
2020-08-17,AAPL,111.26866912841797
2020-08-18,AAPL,112.19585418701172
2020-08-19,AAPL,112.33662414550781
2020-08-20,AAPL,114.82935333251953
2020-08-21,AAPL,120.74677276611328
2020-08-24,AAPL,122.19093322753906
2020-08-25,AAPL,121.18850708007812
2020-08-26,AAPL,122.83655548095703
2020-08-27,AAPL,121.36812591552734
2020-08-28,AAPL,121.17151641845703
2020-08-31,AAPL,125.28070831298828
2020-09-01,AAPL,130.27096557617188
2020-09-02,AAPL,127.57197570800781
2020-09-03,AAPL,117.35844421386719
2020-09-04,AAPL,117.43611145019531
2020-09-08,AAPL,109.53324890136719
2020-09-09,AAPL,113.90216064453125
2020-09-10,AAPL,110.18373107910156
2020-09-11,AAPL,108.73714447021484
2020-09-14,AAPL,111.99925994873047
2020-09-15,AAPL,112.17401123046875
2020-09-16,AAPL,108.86334991455078
2020-09-17,AAPL,107.12550354003906
2020-09-18,AAPL,103.72744750976562
2020-09-21,AAPL,106.87307739257812
2020-09-22,AAPL,108.55266571044922
2020-09-23,AAPL,103.99929809570312
2020-09-24,AAPL,105.06725311279297
2020-09-25,AAPL,109.00897216796875
2020-09-28,AAPL,111.61089324951172
2020-09-29,AAPL,110.76624298095703
2020-09-30,AAPL,112.43614959716797
2020-10-01,AAPL,113.38760375976562
2020-10-02,AAPL,109.72740936279297
2020-10-05,AAPL,113.10604095458984
2020-10-06,AAPL,109.86333465576172
2020-10-07,AAPL,111.7273941040039
2020-10-08,AAPL,111.62061309814453
2020-10-09,AAPL,113.56233978271484
2020-10-12,AAPL,120.77589416503906
2020-10-13,AAPL,117.57205200195312
2020-10-14,AAPL,117.65941619873047
2020-10-15,AAPL,117.19336700439453
2020-10-16,AAPL,115.55261993408203
2020-10-19,AAPL,112.6011962890625
2020-10-20,AAPL,114.08662414550781
2020-10-21,AAPL,113.46528625488281
2020-10-22,AAPL,112.37789154052734
2020-10-23,AAPL,111.68856811523438
2020-10-26,AAPL,111.69828033447266
2020-10-27,AAPL,113.20313262939453
2020-10-28,AAPL,107.96043395996094
2020-10-29,AAPL,111.96043395996094
2020-10-30,AAPL,105.68861389160156
2020-11-02,AAPL,105.60123443603516
2020-11-03,AAPL,107.22258758544922
2020-11-04,AAPL,111.60118103027344
2020-11-05,AAPL,115.56233978271484
2020-11-06,AAPL,115.43106079101562
2020-11-09,AAPL,113.1261215209961
2020-11-10,AAPL,112.7857437133789
2020-11-11,AAPL,116.20907592773438
2020-11-12,AAPL,115.93678283691406
2020-11-13,AAPL,115.98538970947266
2020-11-16,AAPL,116.99683380126953
2020-11-17,AAPL,116.11181640625
2020-11-18,AAPL,114.78915405273438
2020-11-19,AAPL,115.38240814208984
2020-11-20,AAPL,114.11811065673828
2020-11-23,AAPL,110.72393035888672
2020-11-24,AAPL,112.0076904296875
2020-11-25,AAPL,112.84407806396484
2020-11-27,AAPL,113.38871765136719
2020-11-30,AAPL,115.7811508178711
2020-12-01,AAPL,119.35041046142578
2020-12-02,AAPL,119.70050811767578
